,gameId,playId,playDescription,quarter,possessionTeam,kickerId,returnerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,absoluteYardlineNumber,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,specialTeamsSafeties
1,2018090600,677,"M.Bosher kicks 64 yards from ATL 35 to PHI 1. S.Gibson to PHI 31 for 30 yards (D.Kazee, D.Riley).",1,ATL,37267.0,44979,ATL,35,05:01:00,NP,NP,0,0,3,64.0,30.0,75,4.06,D,R,R,C,C,ATL 83,ATL 22,ATL 27,8-0-2,ATL 17; ATL 22
3,2018090600,1606,"M.Bosher kicks 68 yards from ATL 35 to PHI -3. S.Gibson to PHI 10 for 13 yards (K.Ishmael). PENALTY on PHI-A.Maddox, Offensive Holding, 5 yards, enforced at PHI 10.",2,ATL,37267.0,44979,ATL,35,02:08:00,OH,PHI 29,5,3,6,68.0,13.0,45,3.63,D,C,C,C,R,returner_tackled,Solo,ATL 36,8-0-2,ATL 14; ATL 17
8,2018090900,36,"S.Hauschka kicks 69 yards from BUF 35 to BAL -4. J.Grant to BAL 20 for 24 yards (L.Pitts). Penalty on BAL-J.Allen, Unnecessary Roughness, offsetting, enforced at BAL 20. Penalty on BUF-L.Pitts, Face Mask (15 Yards), offsetting.",1,BUF,33469.0,46532,BUF,35,15:00:00,UNR;FMM,BAL 37;BUF 30,0,0,0,69.0,24.0,75,3.83,D,C,C,L,L,returner_tackled,Solo,BUF 50,8-0-2,BUF 24; BUF 30
9,2018090900,400,J.Tucker kicks 61 yards from BAL 35 to BUF 4. M.Murphy to BUF 32 for 28 yards (C.Board).,1,BAL,39470.0,42573,BAL,35,08:42:00,NP,NP,0,7,0,61.0,28.0,45,4.21,D,C,C,C,C,returner_tackled,Solo,BAL 49,8-0-2,BAL 25; BAL 26
12,2018090900,1992,J.Tucker kicks 65 yards from BAL 35 to BUF 0. M.Murphy to BUF 25 for 25 yards (T.Williams).,2,BAL,39470.0,42573,BAL,35,04:16:00,NP,NP,0,20,0,65.0,25.0,75,3.99,D,C,C,C,C,returner_tackled,Solo,BAL 56,8-0-2,BAL 25; BAL 28
13,2018090900,2416,"J.Tucker kicks 61 yards from BAL 35 to BUF 4. M.Murphy to BUF 40 for 36 yards (C.Clark). PENALTY on BAL, Illegal Formation, 5 yards, enforced at BUF 40.",2,BAL,39470.0,42573,BAL,35,00:13:00,ILF,BAL,-5,26,0,61.0,36.0,75,0.0,Q,C,C,C,C,BAL 10; BAL 29,Solo,BAL 36,8-0-2,no safety
15,2018090900,2777,J.Tucker kicks 65 yards from BAL 35 to BUF 0. M.Murphy to BUF 27 for 27 yards (A.Levine).,3,BAL,39470.0,42573,BAL,35,12:28:00,NP,NP,0,33,0,65.0,27.0,75,3.92,D,C,C,C,C,returner_tackled,Solo,BAL 41,8-0-2,BAL 25; BAL 26
18,2018090900,4236,J.Tucker kicks 65 yards from BAL 35 to BUF 00. M.Murphy to BUF 49 for 49 yards (A.Averett).,4,BAL,39470.0,42573,BAL,35,03:52:00,NP,NP,0,47,3,65.0,49.0,45,3.81,D,C,C,R,R,BAL 09,Solo,BAL 28,8-0-2,BAL 25; BAL 28
20,2018090901,2022,"C.Boswell kicks 65 yards from PIT 35 to CLE 0. J.Peppers to CLE 24 for 24 yards (T.Matakevich). PENALTY on CLE-D.Rice, Illegal Block Above the Waist, 10 yards, enforced at CLE 24.",3,PIT,41953.0,44837,PIT,35,15:00:00,IBW,CLE 37,10,0,7,65.0,24.0,45,3.9,D,C,C,L,L,NT,NT,NT,8-0-1,PIT 20; PIT 28
21,2018090901,2302,Z.Gonzalez kicks 67 yards from CLE 35 to PIT -2. R.Switzer to PIT 26 for 28 yards (D.Rice).,3,CLE,45037.0,44946,CLE,35,10:05:00,NP,NP,0,7,7,67.0,28.0,75,3.95,D,C,C,L,C,returner_tackled,Solo,CLE 37,8-0-2,CLE 23; CLE 26
22,2018090901,2489,"C.Boswell kicks 63 yards from PIT 35 to CLE 2. T.Carrie to CLE 16 for 14 yards (T.Matakevich). PENALTY on CLE-O.Charles, Illegal Block Above the Waist, 8 yards, enforced at CLE 16.",3,PIT,41953.0,41448,PIT,35,08:24:00,IBW,CLE 82,8,7,14,63.0,14.0,45,4.17,D,R,R,C,C,returner_tackled,Solo,PIT 44,8-0-1,PIT 20; PIT 28
23,2018090901,2735,C.Boswell kicks 47 yards from 50 to CLE 3. A.Callaway to CLE 11 for 8 yards (T.Matakevich).,3,PIT,41953.0,46174,midfield,50,05:23:00,NP,NP,0,7,21,47.0,8.0,60,3.92,P,C,C,C,C,returner_tackled,Solo,PIT 44,8-0-1,PIT 20; PIT 28
24,2018090901,3815,Z.Gonzalez kicks 51 yards from CLE 35 to PIT 14. R.Switzer to PIT 28 for 14 yards (O.Charles).,4,CLE,45037.0,44946,CLE,35,07:32:00,NP,NP,0,14,21,51.0,14.0,45,3.68,P,R,R,L,L,CLE 37,Solo,CLE 82,8-0-2,CLE 23; CLE 26
25,2018090901,4245,Z.Gonzalez kicks 61 yards from CLE 35 to PIT 4. R.Switzer to PIT 31 for 27 yards (D.Randall).,4,CLE,45037.0,44946,CLE,35,01:58:00,NP,NP,0,21,21,61.0,27.0,45,3.81,D,C,C,C,C,returner_tackled,Solo,CLE 23,8-0-2,CLE 23; CLE 26
27,2018090902,36,R.Sanchez kicks 63 yards from IND 35 to CIN 2. A.Erickson to CIN 30 for 28 yards (M.Farley; K.Moore II).,1,IND,45153.0,43663,IND,35,15:00:00,NP,NP,0,0,0,63.0,28.0,75,4.02,D,L,L,R,R,IND 49,IND 23,IND 41,8-0-2,IND 23; IND 26
32,2018090902,1793,"R.Bullock kicks 69 yards from CIN 35 to IND -4. Z.Pascal to IND 24 for 28 yards (T.Carson, T.McRae).",2,CIN,38691.0,45102,CIN,35,01:44:00,NP,NP,0,13,10,69.0,28.0,75,3.5,D,L,L,R,R,returner_tackled,CIN 29,CIN 33,8-0-2,CIN 21; CIN 23
33,2018090902,2103,R.Sanchez kicks 37 yards from IND 35 to CIN 28. G.Bernard to CIN 42 for 14 yards (C.Moore).,2,IND,45153.0,39985,IND,35,00:02:00,NP,NP,0,16,10,37.0,14.0,45,0.0,Q,C,C,C,C,returner_tackled,Solo,IND 36,8-0-2,IND 23; IND 26
39,2018090902,4276,"R.Bullock kicks 70 yards from CIN 35 to IND -5. Z.Pascal to IND 21 for 26 yards (T.McRae, D.Phillips).",4,CIN,38691.0,45102,CIN,35,00:24:00,NP,NP,0,23,34,70.0,26.0,75,4.06,D,R,R,C,C,CIN 40; CIN 87,Solo,CIN 29,8-0-2,CIN 21
40,2018090903,36,J.Sanders kicks 57 yards from MIA 35 to TEN 8. D.Jennings to TEN 35 for 27 yards (T.McDonald).,1,MIA,46298.0,42973,MIA,35,15:00:00,NP,NP,0,0,0,57.0,27.0,75,3.91,D,C,C,L,L,returner_tackled,Solo,MIA 22,8-0-2,MIA 22; MIA 28
41,2018090903,259,R.Succop kicks 66 yards from TEN 35 to MIA -1. J.Grant to MIA 22 for 23 yards (A.Wallace; D.Bates).,1,TEN,34707.0,43475,TEN,35,10:18:00,NP,NP,0,0,3,66.0,23.0,45,4.01,D,C,C,C,C,returner_tackled,Solo,TEN 52,8-0-2,TEN 24; TEN 36
45,2018090903,2956,"R.Succop kicks 67 yards from TEN 35 to MIA -2. J.Grant for 102 yards, TOUCHDOWN.",4,TEN,34707.0,43475,TEN,35,14:17:00,NP,NP,0,10,10,67.0,102.0,75,4.19,D,C,C,R,R,NT,NT,NT,8-0-2,TEN 24; TEN 36
47,2018090903,3300,"J.Sanders kicks 59 yards from MIA 35 to TEN 6. D.Jennings for 94 yards, TOUCHDOWN.",4,MIA,46298.0,42973,MIA,35,10:22:00,NP,NP,0,24,10,59.0,94.0,45,3.99,D,C,C,R,C,MIA 07,NT,NT,8-0-2,MIA 22; MIA 28
52,2018090905,264,S.Gostkowski kicks 66 yards from NE 35 to HOU -1. T.Ervin pushed ob at HOU 27 for 28 yards (B.King).,1,NE,30932.0,43408,NE,35,11:50:00,NP,NP,0,7,0,66.0,28.0,45,4.21,D,C,C,L,L,returner_tackled,Solo,NE 36,8-0-2,NE 30; NE 32
54,2018090905,1174,S.Gostkowski kicks 64 yards from NE 35 to HOU 1. T.Ervin pushed ob at HOU 37 for 36 yards (D.McCourty).,2,NE,30932.0,43408,NE,35,12:38:00,NP,NP,0,14,3,64.0,36.0,75,3.8,D,C,C,R,R,returner_tackled,Solo,NE 32,8-0-2,NE 23; NE 32
55,2018090905,1397,K.Fairbairn kicks 66 yards from HOU 35 to NE -1. C.Patterson to NE 18 for 19 yards (P.Kalambayi).,2,HOU,43846.0,39975,HOU,35,09:01:00,NP,NP,0,14,6,66.0,19.0,45,4.01,D,C,C,C,C,returner_tackled,Solo,HOU 58,8-0-1,HOU 20; HOU 31
57,2018090905,2300,S.Gostkowski kicks 64 yards from NE 35 to HOU 1. T.Ervin to HOU 28 for 27 yards (J.McCourty; E.Roberts).,3,NE,30932.0,43408,NE,35,15:00:00,NP,NP,0,21,6,64.0,27.0,45,4.32,D,R,R,C,C,returner_tackled,NE 52,NE 30,8-0-2,NE 23; NE 32
58,2018090905,2902,S.Gostkowski kicks 66 yards from NE 35 to HOU -1. T.Ervin to HOU 32 for 33 yards (E.Roberts).,3,NE,30932.0,43408,NE,35,06:02:00,NP,NP,0,24,6,66.0,33.0,45,4.24,D,C,C,R,R,returner_tackled,Solo,NE 52,8-0-2,NE 23; NE 32
